Reparto,Classe,Valore
BARBEACH,ATTREZZ - ,143.55
BARBEACH,BEVERAGE - ,14025.9234
BARBEACH,FOOD - ,17730.4374
BARBEACH,PULIZIA - ,100.3379
BARBEACH,VARIE - ,2018.8116
BRK,BEVERAGE - ,14656.3887
BRK,FOOD - ,97046.1044
BRK,PULIZIA - ,273.9255
BRK,VARIE - ,10025.9383
CANTINA,BEVERAGE - ,16407.2887
CANTINA,FOOD - ,4702.2462
CANTINA,PULIZIA - ,457.68100000000004
CANTINA,VARIE - ,377.582
CUCINA,BEVERAGE - ,30.8686
CUCINA,FOOD - ,33695.909
CUCINA,PULIZIA - ,2110.793
CUCINA,VARIE - ,1301.6059
DIPEND,BEVERAGE - ,1043.7901
DIPEND,FOOD - ,4916.184
DIPEND,PULIZIA - ,47.45
DIPEND,VARIE - ,451.9985
EVENTI,BEVERAGE - ,384.108
EVENTI,FOOD - ,1954.5653
EVENTI,PULIZIA - ,23.115499999999997
EVENTI,VARIE - ,408.573
EVENTO,BEVERAGE - ,92.1458
EVENTO,FOOD - ,292.2769
EVENTO,VARIE - ,13.5
EVENTOLU,FOOD - ,176.757
EVENTOLU,VARIE - ,91.38
EVENTORE,FOOD - ,100.1
HSKCVM,FOOD - ,0.8137
HSKCVM,PULIZIA - ,327.2152
HSKCVM,VARIE - ,660.3953
HSKHOTEL,BEVERAGE - ,3721.203
HSKHOTEL,FOOD - ,129.1061
HSKHOTEL,MANUTENZ - ,95.269
HSKHOTEL,PULIZIA - ,3154.1202
HSKHOTEL,VARIE - ,15373.9905
HSKRES,BEVERAGE - ,7.1906
HSKRES,FOOD - ,46.012499999999996
HSKRES,PULIZIA - ,1356.1092
HSKRES,VARIE - ,3341.5119
IMBARCAZ,BEVERAGE - ,316.478
IMBARCAZ,FOOD - ,2.5905
IMBARCAZ,PULIZIA - ,31.9991
IMBARCAZ,VARIE - ,18.9408
MANCVM,MANUTENZ - ,1.62
MANHOTEL,ATTREZZ - ,4.92
MANHOTEL,MANUTENZ - ,6455.9429
MANHOTEL,PULIZIA - ,73.6248
MANHOTEL,VARIE - ,88.725
MANRESID,MANUTENZ - ,64.226
POOLHTL,VARIE - ,895.6252
POOLRES,VARIE - ,2890.1514
PROPRIET,BEVERAGE - ,162.9766
PROPRIET,FOOD - ,2369.9618
PROPRIET,MANUTENZ - ,20.57
PROPRIET,PROPDIRE - ,2902.69
PROPRIET,PULIZIA - ,536.1946
PROPRIET,VARIE - ,504.3286
RECEP,BEVERAGE - ,406.9642
RECEP,VARIE - ,415.1592
UFFICI,BEVERAGE - ,215.9416
UFFICI,MANUTENZ - ,8.6064
UFFICI,VARIE - ,120.14030000000001
